produit,categorie,mois,is_good_sale
Lait,Produits laitiers,11,1
Fromage blanc,Produits laitiers,8,1
Beurre doux,Produits laitiers,9,1
Pomme,Fruits,5,0
Cerise,Fruits,3,0
Aubergine,Légumes,2,0
Pastèque,Fruits,10,0
Melon,Fruits,3,0
Carotte,Légumes,8,0
Fraise,Fruits,2,0
Pain toasté,Boulangerie,6,1
Navet,Légumes,2,1
Pain blanc,Boulangerie,7,1
Navet,Légumes,1,1
Brie,Produits laitiers,3,1
Abricot,Fruits,10,0
Fraise,Fruits,5,1
Lait,Produits laitiers,7,1
Fraise,Fruits,6,1
Cerise,Fruits,5,1
Pain de mie,Boulangerie,3,1
Lait,Produits laitiers,7,1
Carotte,Légumes,1,1
Orange,Fruits,9,0
Brioche,Boulangerie,2,1
Pain de mie,Boulangerie,11,1
Laitue,Légumes,3,0
Pomme,Fruits,3,0
Courgette,Légumes,9,0
Baguette,Boulangerie,12,1
Chèvre,Produits laitiers,8,1
Orange,Fruits,1,1
Brie,Produits laitiers,9,1
Fraise,Fruits,8,0
Courgette,Légumes,9,0
Pomme,Fruits,9,1
Pastèque,Fruits,4,0
Tomate,Légumes,10,0
Courgette,Légumes,4,0
Chèvre,Produits laitiers,9,1
Courgette,Légumes,4,0
Baguette,Boulangerie,10,1
Pain de mie,Boulangerie,1,1
Fromage blanc,Produits laitiers,2,1
Camembert,Produits laitiers,2,1
Chèvre,Produits laitiers,9,1
Raisin,Fruits,6,0
Tomate,Légumes,4,0
Beurre doux,Produits laitiers,12,1
Chou-fleur,Légumes,8,0
Laitue,Légumes,2,0
Pastèque,Fruits,8,1
Chou-fleur,Légumes,1,1
Carotte,Légumes,5,0
Laitue,Légumes,9,0
Gouda,Produits laitiers,4,1
Pain complet,Boulangerie,4,1
Fraise,Fruits,2,0
Pain de mie,Boulangerie,11,1
Courgette,Légumes,11,0
Pain aux céréales,Boulangerie,9,1
Clémentine,Fruits,4,0
Brioche,Boulangerie,8,1
Carotte,Légumes,2,1
Chèvre,Produits laitiers,8,1
Tomme,Produits laitiers,3,1
Poivron,Légumes,7,1
Aubergine,Légumes,10,0
Pain au chocolat,Boulangerie,1,1
Melon,Fruits,2,0
Brioche,Boulangerie,1,1
Fraise,Fruits,2,0
Pain au chocolat,Boulangerie,12,1
Abricot,Fruits,4,0
Pastèque,Fruits,5,0
Pain complet,Boulangerie,12,1
Carotte,Légumes,9,0
Chèvre,Produits laitiers,10,1
Croissant,Boulangerie,8,1
Pêche,Fruits,1,0
Cerise,Fruits,8,0
Brocoli,Légumes,1,0
Abricot,Fruits,1,0
Fromage blanc,Produits laitiers,7,1
Pastèque,Fruits,9,0
Brie,Produits laitiers,6,1
Pain de mie,Boulangerie,8,1
Tomme,Produits laitiers,2,1
Abricot,Fruits,12,0
Navet,Légumes,10,0
Poireau,Légumes,10,0
Orange,Fruits,7,0
Chèvre,Produits laitiers,12,1
Pain complet,Boulangerie,7,1
Camembert,Produits laitiers,9,1
Abricot,Fruits,5,0
Gouda,Produits laitiers,12,1
Pain pita,Boulangerie,3,1
Courgette,Légumes,10,0
Pain complet,Boulangerie,11,1
Carotte,Légumes,12,1
Camembert,Produits laitiers,5,1
Aubergine,Légumes,8,0
Clémentine,Fruits,1,1
Yaourt nature,Produits laitiers,2,1
Fromage blanc,Produits laitiers,3,1
Raisin,Fruits,9,1
Navet,Légumes,4,0
Pain au chocolat,Boulangerie,10,1
Pomme,Fruits,11,1
Lait,Produits laitiers,7,1
Abricot,Fruits,9,0
Clémentine,Fruits,8,0
Navet,Légumes,9,0
Pain blanc,Boulangerie,10,1
Brocoli,Légumes,2,0
Melon,Fruits,11,0
Raisin,Fruits,7,0
Cerise,Fruits,3,0
Pain blanc,Boulangerie,2,1
Clémentine,Fruits,2,0
Pain de mie,Boulangerie,6,1
Navet,Légumes,1,1
Fromage blanc,Produits laitiers,12,1
Pain aux céréales,Boulangerie,6,1
Baguette,Boulangerie,1,1
Tomate,Légumes,5,0
Courgette,Légumes,10,0
Chou-fleur,Légumes,9,0
Yaourt nature,Produits laitiers,10,1
Carotte,Légumes,12,1
Fromage blanc,Produits laitiers,2,1
Brocoli,Légumes,7,0
Pain complet,Boulangerie,4,1
Pain de mie,Boulangerie,2,1
Laitue,Légumes,3,0
Pain au chocolat,Boulangerie,6,1
Gouda,Produits laitiers,1,1
Aubergine,Légumes,3,0
Poireau,Légumes,3,0
Pain aux céréales,Boulangerie,12,1
Abricot,Fruits,3,0
Poireau,Légumes,11,1
Gouda,Produits laitiers,11,1
Fromage blanc,Produits laitiers,6,1
Orange,Fruits,11,1
Brie,Produits laitiers,4,1
Pain complet,Boulangerie,4,1
Pomme,Fruits,10,1
Poireau,Légumes,10,0
Camembert,Produits laitiers,7,1
Courgette,Légumes,10,0
Pain complet,Boulangerie,7,1
Tomme,Produits laitiers,11,1
Camembert,Produits laitiers,10,1
Brioche,Boulangerie,4,1
Pêche,Fruits,1,0
Pain de mie,Boulangerie,9,1
Pomme,Fruits,4,0
Laitue,Légumes,2,0
Cerise,Fruits,1,0
Courgette,Légumes,2,0
Pain complet,Boulangerie,1,1
Raisin,Fruits,11,0
Laitue,Légumes,5,1
Brocoli,Légumes,6,0
Orange,Fruits,4,0
Abricot,Fruits,4,0
Beurre doux,Produits laitiers,9,1
Orange,Fruits,8,0
Chou-fleur,Légumes,8,0
Aubergine,Légumes,6,1
Pomme,Fruits,3,0
Brie,Produits laitiers,7,1
Pomme,Fruits,2,0
Courgette,Légumes,3,0
Melon,Fruits,7,1
Croissant,Boulangerie,10,1
Tomme,Produits laitiers,10,1
Poivron,Légumes,7,1
Yaourt nature,Produits laitiers,9,1
Yaourt nature,Produits laitiers,10,1
Brie,Produits laitiers,11,1
Roquefort,Produits laitiers,9,1
Brioche,Boulangerie,9,1
Brocoli,Légumes,12,1
Pain au chocolat,Boulangerie,11,1
Croissant,Boulangerie,1,1
Raisin,Fruits,11,0
Pain aux céréales,Boulangerie,1,1
Pain pita,Boulangerie,11,1
Yaourt nature,Produits laitiers,3,1
Pain pita,Boulangerie,4,1
Pastèque,Fruits,11,0
Pêche,Fruits,5,0
Laitue,Légumes,4,1
Melon,Fruits,2,0
Tomate,Légumes,2,0
Aubergine,Légumes,10,0
Melon,Fruits,6,1
Brie,Produits laitiers,5,1
Fromage blanc,Produits laitiers,3,1
Roquefort,Produits laitiers,5,1
